aspects,sentiments,snippets,target,sentence
Stock/Price Action/Bearish,-0.591,AWFUL down from 42.50,SLV,"$SLV -4.44% at 18 now AWFUL, down from 42.50"
Stock/Price Action/Bullish,0.228,cmon bulls buy DIPS,SPY,$SPY c'mon bulls buy DIPS!
Stock/Technical Analysis,-0.443,chart shows distinctive down channel,SPY,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?
Stock/Price Action/Bullish/Bullish Behaviour,0.478,Making higher highs  higher lows,DXCM,$DXCM - Making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).
Stock/Price Action,-0.455,breaks major support,QQQ,"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ"
Stock/Coverage/AnalystRatings/Upgrade,0.715,Upgraded to a buy,CRUS,$CRUS Upgraded to a buy by Alpha Street Research
Stock/Options/Strategies/Bear Put Spread,-0.597,small pos short 180 wkly puts.,NFLX,"$NFLX small pos, short 180 wkly puts."
Corporate/M&A/M&A,0.365,buys 49 stake in Pure food chain,Whitbread,Whitbread buys 49% stake in Pure food chain
Stock/Price Action/Bearish,-0.477,I see more downside in next two weeks,TSLA,$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved
Stock/Price Action/Bullish,0.645,Big Money Is Pouring Into,FB,$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG
Corporate/Sales,-0.43,lost revenue in the range of 12 million to 17 million not good,LULU,$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good
Corporate/Strategy/New Product,0.284,the potential of QNX BES10 and BBM  cross platform,BBRY,@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry
Stock/Price Action/Bullish,0.814,longer term bullish,NUGT,$NUGT longer term bullish
Corporate/Dividend Policy,0.576,Increases Quarterly Cash Dividend,QCOR,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan"""
Stock/Price Action,0.093,Still not breaking out,PAY,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.
Stock/Price Action/Bullish,0.448,still wants higher I think,SPY,$SPY  still wants higher I think.
Stock/Price Action/Future Price/Direction,0.302,lets see 14 today,BBRY,$BBRY lets see 14+ today
Stock/Price Action/Bullish/Bullish Behavior,0.366,Near HOD,DCTH,$DCTH Near HOD
Corporate/Sales,0.454,evenue growing over 30,MSFT,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F
Stock/Price Action/Bullish/Bull Position,0.732,LONG at,GTE,$GTE LONG at 7.44
Stock/Price Action/Bullish,0.427,breaking out,DARA,$DARA breaking out
Corporate/Strategy/Corporate Planning,0.128,Chasing Standard Chartered,Standard Chartered,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears"
Stock/Price Action/Bullish,0.346,S1 above gap. keeping an eye on S2,TSLA,$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB
Stock/Price Action/Volatility/Short Selling,0.155,Sell Short Position on,CNP,"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc"
Corporate/Financial/Financial Results/Earnings,-0.238,lost .03c per share,BBRY,$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.
Stock/Price Action/Bullish,0.296,nice bounce,BBRY,$BBRY nice bounce
Stock/Price Action/Bullish/Bull Position,0.653,picked some up like this going into 2014,DNN,"$DNN picked some up, like this going into 2014"
Stock/Price Action,0.59,share price rallies,Royal Mail,Royal Mail share price rallies amid positive broker comments
Stock/Price Action/Bullish,0.424,Gold above 1400...wow,NUGT,$NUGT Gold above 1400...wow
Stock/Price Action/Bullish,0.472,Ready for Take OFF,BBRY,$BBRY Ready for Take OFF!
Stock/Price Action/Bullish,0.72,VERY HIGH PROBABILITY OF RALLYING TOMORROW,VOLC,$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK
Stock/Price Action/Bullish/Bullish Behavior,0.565,high volume blast off Friday goes higher,YOKU,"$YOKU high volume blast off Friday, goes higher  http://stks.co/qSaL"
Stock/Technical Analysis/Breakout,0.123,key is to breakout above 460 on solid volume,AAPL,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now
Stock/Price Action/Bullish/Bullish Behavior,-0.35,bumping its head on declining daily 8ma as overhead resistance,SPY,$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.
Stock/Price Action/Bullish/Bull Position,0.662,Long Position,IP,"Long Position on $IP,....Scaling UP http://stks.co/sIln"
Stock/Price Action/Bearish/Bearish Behavior,-0.215,Lots of sellers trying to get out.,FB,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.
Stock/Price Action/Bearish/Bear Position,-0.493,Bearish Trader bets 550K that Stock Will Sell Off,BA,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE
Corporate/Financial/Financial Results/Earnings,0.365,eports Q1 EPS of 0.37 versus the estimated 0.35 beating by 0.02. EPS were Up 19 from the same quarter last year.,TXRH,"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year."
Stock/Price Action/Bearish/Bearish Behavior,-0.303,is now beaten down hated,AAPL,"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?"
Stock/Price Action/Bullish/Bullish Behavior,0.404,Nice pop today. Told ya we would be green haha,NOK,@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment
Stock/Price Action/Bullish/Bullish Behavior,0.543,pushing highs,AMCN,$AMCN pushing highs
Stock/Price Action/Bullish/Bull Position,0.759,LONG,SIRI,@pierrules: $SIRI LONG!!
Stock/Price Action/Bullish/Bullish Behavior,0.442,SUSPECT TO TAKE HIGHS,FB,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS
Stock/Price Action,-0.54,Currently it is the shorts rejoicing,AMRN,$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing
Stock/Price Action/Current Price/Oversold,-0.327,shorts likely to take profits into close,CNDO,"$CNDO 21% short float, shorts likely to take profits into close"
Stock/Price Action/Bullish/Bullish Behavior,0.551,staying above the open a very good sign,RNN,$RNN staying above the open a very good sign!!!
Stock/Price Action,0.394,Watch these bancos.theyre holding up relatively well,XLF,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner
Corporate/Sales,-0.329,firstquarter global room revenue,InterContinental,InterContinental Hotels first-quarter global room revenue lags estimates
Stock/Price Action/Bearish/Bearish Behavior,-0.337,1click away from a cliff drop,CAT,$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX)
Stock/Price Action,0.041,A bottom right here,PRGN,$PRGN A bottom right here?
Stock/Price Action,-0.148,Less than 0.2 down and people are calling it bearish. Some heading for exits already,SPY,"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!"
Stock/Price Action/Bullish,0.335,bull flag on the daily,P,"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here"
Stock/Price Action,0.124,Momentum slowing after a huge run.,AAPL,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.
Stock/Technical Analysis,-0.326,A potential bearish shark pattern,V,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH
Corporate/Financial/Accounting/Cash Flow,-0.009,Trailing 12 months operating cash flow,AMZN,$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG
Stock/Price Action/Bullish,0.411,it should start going up slowly from now on,RNN,"$RNN day traders flushed out, it should start going up slowly from now on ."
Stock/Technical Analysis,-0.382,descending triangle breakdown,IWM,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm
Stock/Price Action/Bullish,0.463,This goes green and so many shorts are toast,YELP,$YELP This goes green and so many shorts are toast!
Stock/Technical Analysis,-0.046,Still not technically oversold so now big bounce yet,MU,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet
Stock/Signal/Sell Signal,-0.431,Got sell signal,AMRN,$AMRN Got sell signal 7/1/14 still in force with target below 1.50
Stock/Price Action/Bearish/Bearish Behavior,-0.631,Going lower. Forget about it or go short.,SLV,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short."
Stock/Coverage/AnalystRatings,0.566,New recommendation from Carl Kirst of BMO Capital Markets for,WMB,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r
Stock/Technical Analysis,0.485,Inside week buy triggers,LOCO,$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN
Corporate/Dividend Policy,-0.023,get ready for suspended dividend,RIG,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol"
Stock/Technical Analysis,0.291,Nice RSI 33 bounce,AAPL,$AAPL Nice RSI 33 bounce at 9:58
Stock/Price Action/Bearish,-0.334,took my proprietary profit exit. I didnt like the option liquidity and lousy spreads.,AXDX,"$AXDX I got bored, and took my proprietary profit exit. I didn't like the option liquidity and lousy spreads."
Stock/Price Action/Bullish,0.577,Easy pop to 500 by end of feb.. Then steady as she goes for 600 into second earnings report.,NFLX,$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what
Corporate/M&A/M&A,0.395,to Buy Anaesthetics From AstraZeneca for 520 Million,AstraZeneca,Aspen to Buy Anaesthetics From AstraZeneca for $520 Million
Stock/Price Action/Bearish,-0.262,short boat is getting full on this one,IWM,$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.
Stock/Price Action/Bearish,-0.169,time to take some profits here,INO,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.
Stock/Options/Unusual Put Activity,-0.576,big trader added 10000 April put contracts,MAT,"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols"
Stock/Technical Analysis/Breakout,0.554,Breakout today,FTI,$FTI Breakout today after reporting earnings last night
Corporate/Financial/Financial Results/Earnings/Earnings Beat,0.338,so todays strong results came as a major surprise,KO,"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF"
Stock/Signal/Buy Signal,0.527,Nice buy signals here,COH,$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh
Corporate/M&A/M&A,-0.421,Deutsche Boerse merger under threat,London Stock Exchange,London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit
Stock/Price Action,-0.055,mrkt needs to washout. to hunt well need 2 wait stalk.,TWTR,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.
Stock/Price Action/Current Price/Oversold,-0.011,All my charts are flashing oversold.,RAD,$RAD All my charts are flashing oversold.
Corporate/Appointment,0.0,to Replace Home Retail CEO Walden,Home Retail,Sainsbury CFO Rogers to Replace Home Retail CEO Walden
Corporate/Strategy/Company Agreement,0.248,BP joins forces with Det Norske in Norway,Det Norske,BP joins forces with Det Norske in Norway
Stock/Price Action/Bullish/Bull Position,0.738,bought 3500 shares today,RSOL,$RSOL bought 3500 shares today!
Stock/Price Action/Bullish/Bullish Behaviour,0.484,long steady small climbs,ARIA,$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO
Stock/Price Action/Bearish/Bearish Behaviour,-0.516,Looks like might break down. Im out,CAMT,$CAMT Looks like might break down. I'm out
Corporate/Sales,0.252,books 4 billion stg H1 sales,Legal  General,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales
Stock/Price Action/Volatility/Short Selling,-0.338,Seems like a good short setup,ATHN,$ATHN Seems like a good short setup. Stop above the 50 day. No position.
Market/Market,-0.302,Market getting crushed today,KIOR,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.
Stock/Price Action/Bullish,0.498,This stock is a buy.,AAPL,$AAPL  downgrade is bias. This stock is a buy.
Corporate/Financial/Financial Results/Earnings,0.423,Revenue Up Nearly 50,LNKD,LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD
Corporate/Strategy,0.224,revs up on clean air drive,Johnson Matthey,Johnson Matthey revs up on clean air drive
Stock/Price Action/Bearish,-0.48,bear raid,PLUG,$PLUG bear raid
Stock/Price Action/Bearish,-0.527,down 25 since Tue morning.,GPRO,$GPRO down 25% since Tue morning.
Stock/Coverage/AnalystRatings/Upgrade,0.565,Upgraded to Outperform,ROST,$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t
Stock/Price Action/Bullish/Bullish Behavior,0.383,Bounce Player,ARIA,$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF
Stock/Technical Analysis,0.362,letting the RSI take a breather.,TSLA,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c"
Corporate/Sales/Sales,0.401,company is on the right track they are still improving sales,RAD,$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...
Stock/Price Action/Bearish,-0.46,Will reenter short on bounce...,GTAT,$GTAT Will re-enter short on bounce...
Stock/Technical Analysis,0.544,Ascending triangle gives a bullish bias to this chart,TROW,$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5
Stock/Signal/Buy Signal,0.569,MACD and ADX are crossing over the signal lines Long Setup,AEGN,$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx
Stock/Price Action/Volatility/Selling Pressure,-0.507,large players are selling,INO,what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO
Stock/Price Action/Bearish,-0.465,More bleeding Monday.,RNN,$RNN More bleeding Monday.
Stock/Price Action/Volatility/Short Selling,0.143,Closed short position. Small gain.,PLUG,$PLUG Closed short position. Small gain. Not interested in options expiring worthless
Stock/Price Action,0.071,still having some trouble at the resistance line,UBNT,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4
Stock/Price Action/Bearish/Bearish Behaviour,-0.264,this stock slowly falling everyday,TWTR,$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...
Stock/Price Action/Bullish/Bull Position,0.691,Just went long again,MXWL,$MXWL Oh snap. Just went long again. LT
Stock/Price Action/Bullish,0.336,ready to pop,HRL,$HRL ready to pop! http://stks.co/s0Ny4
Corporate/Appointment,0.089,reportedly appoint Howard Davies as its next chairman,RBS,RBS will reportedly appoint Howard Davies as its next chairman
Stock/Price Action/Bearish,-0.497,SUPER overbought.,OFIX,Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1
Stock/Price Action/Bearish/Bearish Behaviour,-0.465,guess they want it down look at the those sell orders,FB,$FB i guess they want it down look at the those sell orders
Stock/Price Action/Bullish/Bullish Behavior,0.391,eod run ,SPY,@ACInvestorBlog: $SPY eod run :)
Stock/Price Action,0.145,did not break 10.40 coz I was told that is key support level.,BBRY,Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.
Stock/Price Action/Bearish/Bearish Behavior,-0.369,slid to a fouryear low,WTI,$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent
Stock/Price Action,0.374,bounce here on support or HS setup this area is very important for bulls,CDTI,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3
Stock/Price Action/Bearish,-0.228,Price experiencing early rejection,LNKD,$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX
Stock/Coverage/AnalystRatings,0.214,reiterated a HOLD rating,NTAP,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.
Stock/Technical Analysis,0.285,Testing the 200 day after some consolidation,GOOG,$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ
Stock/Coverage/AnalystRatings/Downgrade,-0.45,Receives a Sell from,WAC,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX
Stock/Technical Analysis,0.591,technical swing long basis,TWTR,"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis."
Stock/Price Action/Bullish/Bullish Behavior,0.054,If bulls lucky enuff to get an upside gap fill,HAL,"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us"
Stock/Price Action/Bearish/Bearish Behavior,-0.392,has a 42.71 Float Short,SODA,@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP
Stock/Price Action,0.361,A close over 24.18 is bullish,SPY,"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%"
Stock/Price Action/Bullish,0.413,breaking out when the market pulls back,KEP,$KEP breaking out when the market pulls back  http://stks.co/r0cet
Stock/Price Action,0.479,will go up much higher after this drop,VIPS,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.
Stock/Technical Analysis/Breakout,0.5,they are all poised to breakout.,ARIA,"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout."
Stock/Price Action/Bullish/Bullish Behavior,0.55,strong move today,JNUG,$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -
Stock/Price Action/Bullish,0.431,Calls are going to b a Blessing for my Daughters tuition,KORS,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!
Corporate/Risks,0.0,downplay Brexit threat,Barclays,"Goldman Sachs, Barclays, HSBC downplay Brexit threat"
Stock/Price Action/Bearish,-0.504,they are hitting everything in sight.short it,FB,$FB they are hitting  everything in sight.short it. but twtr
Stock/Price Action/Bearish,-0.405,SS interest rose on 1215 on day before we hit our lows,TSLA,$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr
Stock/Price Action,0.396,Lets see some higher highs and higher lows rest of the day,KNDI,"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady"
Stock/Signal/Sell Signal,-0.471,Stochastic Sell Signal,IFF,"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY"
Stock/Price Action/Bullish,0.604,Up up and away,INO,"$INO Up, up, and away!"
Stock/Price Action/Bearish/Bearish Behavior,-0.512,down 2.84  premarket,BOBE,$BOBE down $2.84  premarket
Stock/Price Action/Bullish,0.557,Loooooongggggg base,CHRM,$CHRM Loooooongggggg base
Stock/Price Action,-0.551,looks like it has found support,NQ,$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z
Stock/Price Action/Bullish,0.643,LONG  STRONG,RSH,$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG
Stock/Price Action/Bearish,-0.541,sells flat..I am out..,GS,$GS sells flat..I am out..
Corporate/Strategy/Investment,0.207,Asahi could be about to snap up more of SABMillers beers ahead of AB InBev sale,Asahi,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale
Stock/Price Action,0.623,Soars 67 Today On Positive Phase 3 Results,SGYP,Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg
Stock/Price Action/Bearish,-0.563,Settles At 3year Low,DBO,NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX
Stock/Price Action/Bearish/Bearish Behavior,-0.325,Decent pull back . .,WX,$WX Decent pull back . .
Corporate/Financial/Financial Results/Earnings,0.42,Revenue Rises 36,AKS,"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition"
Stock/Price Action/Bullish/Bullish Behavior,0.561,both 1m6m trends turn bullish today,BBRY,$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6
Corporate/Risks,-0.473,wrong to ignore Brexit ris,Deutsche Brse,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk
Stock/Price Action/Bullish/Bull Position,0.594,Long,GPRO,Long $GPRO for a brealout trade
Corporate/Risks/Halt in Services,-0.237,Will this cold put a dent in the massive horizontal rig production,UGAZ,$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P
Stock/Price Action/Bearish/Bear Position,-0.678,short from here.,ISRG,$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm
Corporate/Risks,-0.265,Breakup Will Cost Billions,HPQ,"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ"
Stock/Price Action/Bullish/Bullish Behavior,0.523,Strong close,PLNR,@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming
Stock/Price Action/Bearish/Bearish Behavior,-0.231,will pull back,CPIX,Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP
Corporate/Financial/Financial Results/Earnings/Company Guidance,-0.083,Sandbagged the guidance,GILD,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation"
Stock/Technical Analysis,-0.385,Stochastic Overbought,LPG,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com
Stock/Technical Analysis,0.23,Double bottom,YANG,$YANG Double bottom 5.2
Stock/Technical Analysis,0.437,Potential continuation Uptrend,HYG,$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6
Stock/Technical Analysis,0.363,looks like an ascending channel,CYTX,$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4
Stock/Price Action/Bearish/Bearish Behavior,0.089,Im glad I got stopped out of my,AAPL,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.
Corporate/Legal,-0.594,Tax Evasion Claims,HSBC,HSBC Hit by Fresh Details of Tax Evasion Claims
Stock/Price Action/Bullish/Bull Position,0.562,Bought a little yesterday,WFM,"$WFM Bought a little yesterday, hoping for an earnings pop."
Stock/Price Action,0.259,Finding Support Near 1.10 Level,UUP,EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU
Stock/Price Action/Bullish/Bullish Behavior,0.507,up 10 in premarket,IBIO,$IBIO  up 10% in premarket ready for lift off
Corporate/Sales,0.35,sales recover,Tesco,Tesco sales recover as focus returns to core business
Corporate/Rumors/Rumors,0.594,rumor this morning had them spinning off,MSFT,"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs"
Stock/Price Action/Bearish/Bearish Behavior,-0.2,finally breaking under,AAPL,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area."
Stock/Signal/Buy Signal,0.564,Gilligans Island Buy Setup Stochastic Buy Signal,DGI,"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu"
Stock/Price Action/Bullish,0.227,ontinues to consolidate above previous break out area,LUV,$LUV Continues to consolidate above previous break out area...
Stock/Price Action/Bullish/Bullish Behavior,0.587,bottoming out again.. Good time to buy,REN,$REN bottoming out again.. Good time to buy
Corporate/Legal/Lawsuit,-0.17,Hit With Lawsuit,YNDX,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8
Stock/Price Action/Bearish/Bearish Behavior,-0.238,at resistance right here...sold my shares,AAPL,$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone
Stock/Technical Analysis/Breakout,0.465,Breakout Coming Soon,GALE,$GALE Breakout Coming Soon!
Stock/Price Action/Bearish,0.1,Dont catch falling knives,RUSS,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this"
Stock/Price Action/Bullish,0.5,rally mode,AAPL,$AAPL $131 rally mode
Stock/Insider Activity/Insider Selling,-0.195,CEO sells 450k,MPWR,$MPWR CEO sells 450k april 15th..meh
Stock/Price Action/Bearish/Bearish Behavior,-0.397,breaking below support,SPY,"Homebuilders - $RYL breaking below support, watch this one.  $SPY"
Stock/Price Action/Bearish,-0.569,afternoon selloff as usual will be brutal,AAPL,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.
Stock/Price Action,0.441,Going thru the roof needs a sell,AMZN,$AMZN Going thru the roof needs a sell!
Stock/Price Action/Bearish/Bearish Behavior,-0.465,on lows down 1.50 to 2.50,ESI,"$ESI on lows, down $1.50 to $2.50 BK a real possibility"
Stock/Price Action/Bearish/Bear Position,-0.745,Short on,ATVI,Short on $ATVI from 24.55.
Corporate/Dividend Policy,0.0,but dividend rises,Johnson Matthey,Johnson Matthey profit falls but dividend rises
Stock/Technical Analysis,0.457,Bullish MA Crossovers,TTT,End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com
Stock/Price Action,0.325,held the trend lin,NAVB,"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB"
Stock/Price Action/Current Price/Oversold,0.43,oversold,NEON,$NEON oversold
Stock/Price Action/Bullish,0.395,just retested lows . Should rise steadily from here,SSYS,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again."
Stock/Price Action/Bullish/Bullish Behavior,0.602,Break that HOD on volume and we have a nice consolidation,KNDI,"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run."
Stock/Price Action/Bullish,0.502,SEE YA ABOVE 8,INVE,$INVE : SEE YA ABOVE $8
Corporate/M&A/Proposed Merger,0.348,Announces Extension of Merger Agreements,BXS,$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF
Stock/Price Action/Bullish/Bullish Behavior,0.559,Up 20.84 In February,FRP,"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP"
Stock/Price Action/Bullish,0.385,Flagged As Strong On High Volume,EXAS,Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra
Stock/Technical Analysis,0.503,RSI extremely in longs favor,BIOC,$BIOC RSI extremely in long's favor looking at BIOC historically.
Stock/Price Action/Bullish,0.348,Looks like an explosive setup if it can break the 20EMA,TNH,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH
Stock/Price Action/Bullish,0.28,Got a nice push today,VMW,$VMW  Got a nice push today following small sweepers of May C this morning
Stock/Coverage/AnalystRatings/Downgrade,-0.501,Stock Receives Ratings Downgrade,DDD,$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd
Stock/Price Action/Bullish/Bullish Behavior,0.249,Dips being bought up real quick,AAPL,$AAPL Dips being bought up real quick. Higher lows fo sho
Stock/Price Action/Bullish/Bull Position,0.601,Long,X,Long $X 24.62
