aspects,sentiments,snippets,target,sentence,combined,news
Stock/Price Action/Bearish,-0.497,SUPER overbought.,OFIX,Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,SUPER overbought. Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,super overbought stumbled upon amazing chart  ofix  holy guac super overbought httpstkscoepx
Stock/Price Action/Bearish/Bearish Behaviour,-0.465,guess they want it down look at the those sell orders,FB,$FB i guess they want it down look at the those sell orders,guess they want it down look at the those sell orders $FB i guess they want it down look at the those sell orders,guess want look sell orders fb guess want look sell orders
Stock/Price Action/Bullish/Bullish Behavior,0.391,eod run ,SPY,@ACInvestorBlog: $SPY eod run :),eod run  @ACInvestorBlog: $SPY eod run :),eod run  acinvestorblog spy eod run
Stock/Price Action,0.145,did not break 10.40 coz I was told that is key support level.,BBRY,Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,did not break 10.40 coz I was told that is key support level. Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,break  coz told key support level phew far good bbry break  coz told key support level
Stock/Price Action/Bearish/Bearish Behavior,-0.369,slid to a fouryear low,WTI,$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,slid to a fouryear low $Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,slid fouryear low oil slid fouryear low opec kept oil production unchanged  httpstkscoaix uso wti brent
Stock/Price Action,0.374,bounce here on support or HS setup this area is very important for bulls,CDTI,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,bounce here on support or HS setup this area is very important for bulls $CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,bounce support hs setup area important bulls cdti bounce support hs setup area important bulls lose httpstkscocmf
Stock/Price Action/Bearish,-0.228,Price experiencing early rejection,LNKD,$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,Price experiencing early rejection $LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,price experiencing early rejection lnkd daily phase  retest  price experiencing early rejection retest httpstkscotxx
Stock/Coverage/AnalystRatings,0.214,reiterated a HOLD rating,NTAP,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,reiterated a HOLD rating 3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,reiterated hold rating star analyst joe wittine longbow research reiterated hold rating ntap
Stock/Technical Analysis,0.285,Testing the 200 day after some consolidation,GOOG,$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,Testing the 200 day after some consolidation $GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,testing day consolidation goog testing day consolidation httpstkscohcpj
Stock/Coverage/AnalystRatings/Downgrade,-0.45,Receives a Sell from,WAC,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,Receives a Sell from Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,receives sell walter investment management corp receives sell compass point wac httpstkscocivx
Stock/Technical Analysis,0.591,technical swing long basis,TWTR,"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.","technical swing long basis So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",technical swing long basis todays close  im long tsla amtd twtr fb aapl celg  longerterm technical swing long basis
Stock/Price Action/Bullish/Bullish Behavior,0.054,If bulls lucky enuff to get an upside gap fill,HAL,"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us","If bulls lucky enuff to get an upside gap fill $HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",bulls lucky enuff get upside gap fill hal bulls lucky enuff get upside gap fill better take wouldnt chase httpstkscorus
Stock/Price Action/Bearish/Bearish Behavior,-0.392,has a 42.71 Float Short,SODA,@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,has a 42.71 Float Short @1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,float short nvestor soda float short lol  httpstkscoedfp
Stock/Price Action,0.361,A close over 24.18 is bullish,SPY,"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%","A close over 24.18 is bullish @BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",close bullish brooklynbandit simo basing nice close bullish qqq spy study watch close near hod currently 
Stock/Price Action/Bullish,0.413,breaking out when the market pulls back,KEP,$KEP breaking out when the market pulls back  http://stks.co/r0cet,breaking out when the market pulls back $KEP breaking out when the market pulls back  http://stks.co/r0cet,breaking market pulls back kep breaking market pulls back  httpstkscorcet
Stock/Price Action,0.479,will go up much higher after this drop,VIPS,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,will go up much higher after this drop $VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,go much higher drop vips similar pattern like beginning may u sell nowwill go much higher drop
Stock/Technical Analysis/Breakout,0.5,they are all poised to breakout.,ARIA,"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.","they are all poised to breakout. @Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",poised breakout binkster ers lol looking correlation aria foreign price charts poised breakout
Stock/Price Action/Bullish/Bullish Behavior,0.55,strong move today,JNUG,$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,strong move today $GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,strong move today gdx gdxj jnug  strong move today junior gold miners  keep eye gap fill
Stock/Price Action/Bullish,0.431,Calls are going to b a Blessing for my Daughters tuition,KORS,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,Calls are going to b a Blessing for my Daughters tuition @BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,calls going b blessing daughters tuition bullya pollux kors  calls going b blessing daughters tuition
Corporate/Risks,0.0,downplay Brexit threat,Barclays,"Goldman Sachs, Barclays, HSBC downplay Brexit threat","downplay Brexit threat Goldman Sachs, Barclays, HSBC downplay Brexit threat",downplay brexit threat goldman sachs barclays hsbc downplay brexit threat
Stock/Price Action/Bearish,-0.504,they are hitting everything in sight.short it,FB,$FB they are hitting  everything in sight.short it. but twtr,they are hitting everything in sight.short it $FB they are hitting  everything in sight.short it. but twtr,hitting everything sightshort fb hitting  everything sightshort twtr
Stock/Price Action/Bearish,-0.405,SS interest rose on 1215 on day before we hit our lows,TSLA,$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,SS interest rose on 1215 on day before we hit our lows $TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,ss interest rose day hit lows tsla love types articles ss interest rose day hit lows httpstkscocqkr
Stock/Price Action,0.396,Lets see some higher highs and higher lows rest of the day,KNDI,"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady","Lets see some higher highs and higher lows rest of the day $KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",lets see higher highs higher lows rest day kndi lets see higher highs higher lows rest day  slow steady
Stock/Signal/Sell Signal,-0.471,Stochastic Sell Signal,IFF,"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY","Stochastic Sell Signal $IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",stochastic sell signal iff technical alerts stochastic sell signal  dma support dma support  httpstkscopqy
Stock/Price Action/Bullish,0.604,Up up and away,INO,"$INO Up, up, and away!","Up up and away $INO Up, up, and away!",away ino away
Stock/Price Action/Bearish/Bearish Behavior,-0.512,down 2.84  premarket,BOBE,$BOBE down $2.84  premarket,down 2.84  premarket $BOBE down $2.84  premarket,premarket bobe premarket
Stock/Price Action/Bullish,0.557,Loooooongggggg base,CHRM,$CHRM Loooooongggggg base,Loooooongggggg base $CHRM Loooooongggggg base,loooooongggggg base chrm loooooongggggg base
Stock/Price Action,-0.551,looks like it has found support,NQ,$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,looks like it has found support $NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,looks like found support nq got hit hard lower looks like found support httpstkscosz
Stock/Price Action/Bullish,0.643,LONG  STRONG,RSH,$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,LONG  STRONG $RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,long  strong rsh  looking first profitable quarter years    long  strong
Stock/Price Action/Bearish,-0.541,sells flat..I am out..,GS,$GS sells flat..I am out..,sells flat..I am out.. $GS sells flat..I am out..,sells flati gs sells flati 
Corporate/Strategy/Investment,0.207,Asahi could be about to snap up more of SABMillers beers ahead of AB InBev sale,Asahi,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,Asahi could be about to snap up more of SABMillers beers ahead of AB InBev sale Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,asahi could snap sabmillers beers ahead ab inbev sale asahi could snap sabmillers beers ahead ab inbev sale
Stock/Price Action,0.623,Soars 67 Today On Positive Phase 3 Results,SGYP,Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,Soars 67 Today On Positive Phase 3 Results Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,soars  today positive phase  results synergy pharma soars  today positive phase  results sgyp httpstkscojawg
Stock/Price Action/Bearish,-0.563,Settles At 3year Low,DBO,NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,Settles At 3year Low NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,settles year low naturalgas settles year low dbo bno  httpstkscodqx
Stock/Price Action/Bearish/Bearish Behavior,-0.325,Decent pull back . .,WX,$WX Decent pull back . .,Decent pull back . . $WX Decent pull back . .,decent pull back   wx decent pull back
Corporate/Financial/Financial Results/Earnings,0.42,Revenue Rises 36,AKS,"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition","Revenue Rises 36 09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition",revenue rises   aks  dj ak steel revenue rises  auto sector demand acquisition
Stock/Price Action/Bullish/Bullish Behavior,0.561,both 1m6m trends turn bullish today,BBRY,$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,both 1m6m trends turn bullish today $BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,mm trends turn bullish today bbry mm trends turn bullish today resistance level httpstkscojqt
Corporate/Risks,-0.473,wrong to ignore Brexit ris,Deutsche Brse,LSE-Deutsche B̦rse dealmakers wrong to ignore Brexit risk,wrong to ignore Brexit ris LSE-Deutsche B̦rse dealmakers wrong to ignore Brexit risk,wrong ignore brexit ris lsedeutsche brse dealmakers wrong ignore brexit risk
Stock/Price Action/Bullish/Bull Position,0.594,Long,GPRO,Long $GPRO for a brealout trade,Long Long $GPRO for a brealout trade,long long gpro brealout trade
Corporate/Risks/Halt in Services,-0.237,Will this cold put a dent in the massive horizontal rig production,UGAZ,$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,Will this cold put a dent in the massive horizontal rig production $UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,cold put dent massive horizontal rig production ugaz cold put dent massive horizontal rig production knows  httpstkscopvp
Stock/Price Action/Bearish/Bear Position,-0.678,short from here.,ISRG,$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,short from here. $ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,short isrg  isrg short  httpstkscofvvu httpstkscocqrm
Corporate/Risks,-0.265,Breakup Will Cost Billions,HPQ,"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ","Breakup Will Cost Billions $HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",breakup cost billions hpq says breakup cost billions sees savings httpstkscophz
Stock/Price Action/Bullish/Bullish Behavior,0.523,Strong close,PLNR,@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,Strong close @Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,strong close renatta frvan kjepeneter rptl  strong close  plnr  coming
Stock/Price Action/Bearish/Bearish Behavior,-0.231,will pull back,CPIX,Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,will pull back Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,pull back buyback trending right  cpix spending shares pricier hopefully pull back w  q closing vwap
Corporate/Financial/Financial Results/Earnings/Company Guidance,-0.083,Sandbagged the guidance,GILD,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation","Sandbagged the guidance $GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",sandbagged guidance gild sandbagged guidance use last  billion cc cautiously optimistic wait til next er confirmation
Stock/Technical Analysis,-0.385,Stochastic Overbought,LPG,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,Stochastic Overbought End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,stochastic overbought end day scan stochastic overbought jdst free blrx lpg afsi dvax hdge aht alr asmb  wwwdailystockplayscom
Stock/Technical Analysis,0.23,Double bottom,YANG,$YANG Double bottom 5.2,Double bottom $YANG Double bottom 5.2,double bottom yang double bottom
Stock/Technical Analysis,0.437,Potential continuation Uptrend,HYG,$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,Potential continuation Uptrend $HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,potential continuation uptrend hyg potential continuation uptrend charts httpstkscotqp
Stock/Technical Analysis,0.363,looks like an ascending channel,CYTX,$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,looks like an ascending channel $CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,looks like ascending channel cytx looks like ascending channel finfiz httpstkscofr
Stock/Price Action/Bearish/Bearish Behavior,0.089,Im glad I got stopped out of my,AAPL,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,Im glad I got stopped out of my $AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,im glad got stopped aapl im glad got stopped weeklies reenter next monday earnings runup
Corporate/Legal,-0.594,Tax Evasion Claims,HSBC,HSBC Hit by Fresh Details of Tax Evasion Claims,Tax Evasion Claims HSBC Hit by Fresh Details of Tax Evasion Claims,tax evasion claims hsbc hit fresh details tax evasion claims
Stock/Price Action/Bullish/Bull Position,0.562,Bought a little yesterday,WFM,"$WFM Bought a little yesterday, hoping for an earnings pop.","Bought a little yesterday $WFM Bought a little yesterday, hoping for an earnings pop.",bought little yesterday wfm bought little yesterday hoping earnings pop
Stock/Price Action,0.259,Finding Support Near 1.10 Level,UUP,EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,Finding Support Near 1.10 Level EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,finding support near  level eurusd finding support near  level ero uup udn fxe  httpstkscobeu
Stock/Price Action/Bullish/Bullish Behavior,0.507,up 10 in premarket,IBIO,$IBIO  up 10% in premarket ready for lift off,up 10 in premarket $IBIO  up 10% in premarket ready for lift off,premarket ibio  premarket ready lift 
Corporate/Sales,0.35,sales recover,Tesco,Tesco sales recover as focus returns to core business,sales recover Tesco sales recover as focus returns to core business,sales recover tesco sales recover focus returns core business
Corporate/Rumors/Rumors,0.594,rumor this morning had them spinning off,MSFT,"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs","rumor this morning had them spinning off RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",rumor morning spinning recap msft rumor morning spinning xbox unit stock grinds day close highs
Stock/Price Action/Bearish/Bearish Behavior,-0.2,finally breaking under,AAPL,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.","finally breaking under $AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",finally breaking aapl aapl finally breaking buybacks week look aapl test support area
Stock/Signal/Buy Signal,0.564,Gilligans Island Buy Setup Stochastic Buy Signal,DGI,"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu","Gilligans Island Buy Setup Stochastic Buy Signal $DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",gilligans island buy setup stochastic buy signal dgi technical alerts gilligans island buy setup stochastic buy signal lizard bullish hammer candlestick wid httpstkscocnu
Stock/Price Action/Bullish,0.227,ontinues to consolidate above previous break out area,LUV,$LUV Continues to consolidate above previous break out area...,ontinues to consolidate above previous break out area $LUV Continues to consolidate above previous break out area...,ontinues consolidate previous break area luv continues consolidate previous break area
Stock/Price Action/Bullish/Bullish Behavior,0.587,bottoming out again.. Good time to buy,REN,$REN bottoming out again.. Good time to buy,bottoming out again.. Good time to buy $REN bottoming out again.. Good time to buy,bottoming good time buy ren bottoming good time buy
Corporate/Legal/Lawsuit,-0.17,Hit With Lawsuit,YNDX,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,Hit With Lawsuit $GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,hit lawsuit googl hit lawsuit russian search engine yndx httpstkscobkd
Stock/Price Action/Bearish/Bearish Behavior,-0.238,at resistance right here...sold my shares,AAPL,$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,at resistance right here...sold my shares $AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,resistance right heresold shares aapl resistance right heresold shareswill buy back dips goes gap zone
Stock/Technical Analysis/Breakout,0.465,Breakout Coming Soon,GALE,$GALE Breakout Coming Soon!,Breakout Coming Soon $GALE Breakout Coming Soon!,breakout coming soon gale breakout coming soon
Stock/Price Action/Bearish,0.1,Dont catch falling knives,RUSS,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this","Dont catch falling knives $RUSS Don't catch falling knives, but I think an entry is coming soon on this",dont catch falling knives russ dont catch falling knives think entry coming soon 
Stock/Price Action/Bullish,0.5,rally mode,AAPL,$AAPL $131 rally mode,rally mode $AAPL $131 rally mode,rally mode aapl  rally mode
Stock/Insider Activity/Insider Selling,-0.195,CEO sells 450k,MPWR,$MPWR CEO sells 450k april 15th..meh,CEO sells 450k $MPWR CEO sells 450k april 15th..meh,ceo sells k mpwr ceo sells k april thmeh
Stock/Price Action/Bearish/Bearish Behavior,-0.397,breaking below support,SPY,"Homebuilders - $RYL breaking below support, watch this one.  $SPY","breaking below support Homebuilders - $RYL breaking below support, watch this one.  $SPY",breaking support homebuilders  ryl breaking support watch one  spy
Stock/Price Action/Bearish,-0.569,afternoon selloff as usual will be brutal,AAPL,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,afternoon selloff as usual will be brutal $AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,afternoon selloff usual brutal aapl afternoon selloff usual brutal get ready lose ton money
Stock/Price Action,0.441,Going thru the roof needs a sell,AMZN,$AMZN Going thru the roof needs a sell!,Going thru the roof needs a sell $AMZN Going thru the roof needs a sell!,going thru roof needs sell amzn going thru roof needs sell
Stock/Price Action/Bearish/Bearish Behavior,-0.465,on lows down 1.50 to 2.50,ESI,"$ESI on lows, down $1.50 to $2.50 BK a real possibility","on lows down 1.50 to 2.50 $ESI on lows, down $1.50 to $2.50 BK a real possibility",lows esi lows bk real possibility
Stock/Price Action/Bearish/Bear Position,-0.745,Short on,ATVI,Short on $ATVI from 24.55.,Short on Short on $ATVI from 24.55.,short short atvi 
Corporate/Dividend Policy,0.0,but dividend rises,Johnson Matthey,Johnson Matthey profit falls but dividend rises,but dividend rises Johnson Matthey profit falls but dividend rises,dividend rises johnson matthey profit falls dividend rises
Stock/Technical Analysis,0.457,Bullish MA Crossovers,TTT,End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,Bullish MA Crossovers End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,bullish crossovers end day scan bullish crossovers bbva pds ntls ngl sbrcy fgl mtnoy ttt  wwwdailystockplayscom
Stock/Price Action,0.325,held the trend lin,NAVB,"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB","held the trend lin @louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",held trend lin louiebeene vwap held trend line lot radars navb
Stock/Price Action/Current Price/Oversold,0.43,oversold,NEON,$NEON oversold,oversold $NEON oversold,oversold neon oversold
Stock/Price Action/Bullish,0.395,just retested lows . Should rise steadily from here,SSYS,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.","just retested lows . Should rise steadily from here $SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",retested lows  rise steadily ssys retested lows  rise steadily hit  trading days ago sept  itll 
Stock/Price Action/Bullish/Bullish Behavior,0.602,Break that HOD on volume and we have a nice consolidation,KNDI,"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.","Break that HOD on volume and we have a nice consolidation $KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",break hod volume nice consolidation kndi break hod volume nice consolidation completed another run
Stock/Price Action/Bullish,0.502,SEE YA ABOVE 8,INVE,$INVE : SEE YA ABOVE $8,SEE YA ABOVE 8 $INVE : SEE YA ABOVE $8,see ya inve  see ya 
Corporate/M&A/Proposed Merger,0.348,Announces Extension of Merger Agreements,BXS,$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,Announces Extension of Merger Agreements $BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,announces extension merger agreements bxs bancorpsouth announces extension merger agreements httpstkscospdf
Stock/Price Action/Bullish/Bullish Behavior,0.559,Up 20.84 In February,FRP,"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP","Up 20.84 In February Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP",february maglan capital february long fairpoint  httpstkscoseqc  frp
Stock/Price Action/Bullish,0.385,Flagged As Strong On High Volume,EXAS,Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,Flagged As Strong On High Volume Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,flagged strong high volume exact exas flagged strong high volume exas httpstkscorra
Stock/Technical Analysis,0.503,RSI extremely in longs favor,BIOC,$BIOC RSI extremely in long's favor looking at BIOC historically.,RSI extremely in longs favor $BIOC RSI extremely in long's favor looking at BIOC historically.,rsi extremely longs favor bioc rsi extremely longs favor looking bioc historically
Stock/Price Action/Bullish,0.348,Looks like an explosive setup if it can break the 20EMA,TNH,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,Looks like an explosive setup if it can break the 20EMA $TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,looks like explosive setup break ema tnh looks like explosive setup break ema level httpstkscobsvh
Stock/Price Action/Bullish,0.28,Got a nice push today,VMW,$VMW  Got a nice push today following small sweepers of May C this morning,Got a nice push today $VMW  Got a nice push today following small sweepers of May C this morning,got nice push today vmw  got nice push today following small sweepers may c morning
Stock/Coverage/AnalystRatings/Downgrade,-0.501,Stock Receives Ratings Downgrade,DDD,$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,Stock Receives Ratings Downgrade $DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,stock receives ratings downgrade ddd systems ddd stock receives ratings downgrade today jefferies httpstkscogcqd
Stock/Price Action/Bullish/Bullish Behavior,0.249,Dips being bought up real quick,AAPL,$AAPL Dips being bought up real quick. Higher lows fo sho,Dips being bought up real quick $AAPL Dips being bought up real quick. Higher lows fo sho,dips bought real quick aapl dips bought real quick higher lows fo sho
Stock/Price Action/Bullish/Bull Position,0.601,Long,X,Long $X 24.62,Long Long $X 24.62,long long x
Stock/Price Action/Current Price/52-Week High,0.782,gapping up to all time highs,NKE,$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,gapping up to all time highs $NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,gapping time highs nke gapping time highs httpstkscoqjau tradeideas httpstkscorjc
Stock/Price Action/Bullish,0.46,gasoline prices spike,CLNE,@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,gasoline prices spike @Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,gasoline prices spike intuitiv clne gasoline prices spike california httpstkscotboi
Corporate/Rumors/Scoop,0.0,3 musthave growth stocks,ASOS plc,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?","3 musthave growth stocks Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",musthave growth stocks arm holdings plc dominos pizza group plc asos plc  musthave growth stocks
Corporate/Legal/Lawsuit,-0.346,Files Lawsuit Against,VZ,ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,Files Lawsuit Against ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,files lawsuit espn files lawsuit verizon  httpstkscoicj vz
Stock/Coverage,0.847,stock jumps to new high,Priceline,Priceline's stock jumps to new high for the year after Barclays upgrade,stock jumps to new high Priceline's stock jumps to new high for the year after Barclays upgrade,stock jumps new high pricelines stock jumps new high year barclays upgrade
Corporate/Dividend Policy/Dividend/Dividend going up,0.597,raised dividend,AVGO,$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,raised dividend $AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,raised dividend avgo great growth stk   also raised dividend  clearly great investment httpstkscorfh
Stock/Price Action/Bearish,-0.507,they keep bringing the share price down,RXII,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.","they keep bringing the share price down $RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",keep bringing share price rxii tang really toxic keep bringing share price least could let climb little dragging 
